formula,class,source,mp_id,e_above_hull,formation_e,is_stable,confidence,n_atoms_cell,sg,elements,ang_mom,predicted_phase,cif_filename
CuFeTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Cu;Fe;Ta;Ti;V,"{""Cu"": ""d"", ""Fe"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuFeTaTiV_bcc.cif
CuFeTiVW,hea,prototype,,,,,low,16,BCC_SQS,Cu;Fe;Ti;V;W,"{""Cu"": ""d"", ""Fe"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CuFeTiVW_bcc.cif
AlCuFeTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Cu;Fe;Ti;V,"{""Al"": ""p"", ""Cu"": ""d"", ""Fe"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCuFeTiV_bcc.cif
FeMoNbTiV,hea,prototype,,,,,low,16,BCC_SQS,Fe;Mo;Nb;Ti;V,"{""Fe"": ""d"", ""Mo"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,FeMoNbTiV_bcc.cif
FeNbTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Fe;Nb;Ta;Ti;V,"{""Fe"": ""d"", ""Nb"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,FeNbTaTiV_bcc.cif
FeNbTiVW,hea,prototype,,,,,low,16,BCC_SQS,Fe;Nb;Ti;V;W,"{""Fe"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,FeNbTiVW_bcc.cif
AlFeNbTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Fe;Nb;Ti;V,"{""Al"": ""p"", ""Fe"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlFeNbTiV_bcc.cif
FeMoTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Fe;Mo;Ta;Ti;V,"{""Fe"": ""d"", ""Mo"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,FeMoTaTiV_bcc.cif
FeMoTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Fe;Mo;Ti;V;W,"{""Fe"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,FeMoTiVW_bcc.cif
AlFeMoTiV,hea,prototype,,,,,medium,16,BCC_SQS,Al;Fe;Mo;Ti;V,"{""Al"": ""p"", ""Fe"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlFeMoTiV_bcc.cif
FeTaTiVW,hea,prototype,,,,,low,16,BCC_SQS,Fe;Ta;Ti;V;W,"{""Fe"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,FeTaTiVW_bcc.cif
AlFeTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Fe;Ta;Ti;V,"{""Al"": ""p"", ""Fe"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlFeTaTiV_bcc.cif
