formula,class,R,status,reason,n_atoms,energy_eV,energy_per_atom_eV,elapsed_sec
Cr2FeAl,heusler,6,failed,timeout,83,,,900.0
Cr2HfSb,heusler,5,passed,,27,-917.5272,-33.982489,13.5
Cr2HfIn,heusler,6,passed,,59,-1398.5933,-23.704971,91.3
Cr2FeSb,heusler,6,passed,,59,-2382.4494,-40.380498,379.7
Cr2CoSn,heusler,6,passed,,59,-2395.2575,-40.597585,968.2
Cr2HfSn,heusler,5,passed,,27,-759.1221,-28.115633,8.1
Cr2HfSi,heusler,5,passed,,27,-782.7112,-28.989304,35.1
Cr2HfGe,heusler,6,passed,,59,-1595.4582,-27.041664,182.0
Cr2HfBi,heusler,6,passed,,48,-1452.4017,-30.258369,304.1
Cr2HfBi,heusler,5,passed,,35,-1066.0317,-30.458049,345.6
Cr2FeSi,heusler,5,passed,,59,-2205.4021,-37.379697,501.2
Cr2MnAl,heusler,5,passed,,48,-1558.2839,-32.464248,130.0
Cr2MnGa,heusler,5,passed,,27,-1075.9712,-39.850785,52.3
Cr2HfSb,heusler,6,passed,,59,-1712.814,-29.030746,330.1
Cr2FeBi,heusler,6,failed,timeout,73,,,1200.0
Cr2MnBi,heusler,5,passed,,48,-1874.8498,-39.059371,269.2
Cr2MnGe,heusler,5,passed,,51,-1765.3896,-34.615482,184.2
Cr2HfAl,heusler,6,passed,,59,-1426.7624,-24.182414,636.2
Cr2MnGe,heusler,6,passed,,65,-2425.7304,-37.318929,86.9
Cr2MnSb,heusler,5,passed,,33,-1282.6619,-38.868542,60.1
Cr2MnGa,heusler,6,passed,,59,-1905.8786,-32.303027,368.4
Cr2MnIn,heusler,5,passed,,30,-902.0663,-30.068877,179.6
Cr2MnSn,heusler,5,passed,,27,-964.7735,-35.732352,7.0
Cr2MnSn,heusler,6,passed,,59,-2043.4746,-34.635163,71.8
Cr2MnSb,heusler,6,passed,,59,-2202.6602,-37.333224,215.5
Cr2MnSi,heusler,5,passed,,44,-1585.948,-36.044273,280.9
Cr2MoAl,heusler,6,passed,,61,-1788.8882,-29.326036,216.7
Cr2MoAl,heusler,5,passed,,45,-1300.165,-28.892556,320.4
Cr2MoGa,heusler,5,passed,,30,-1005.7411,-33.524703,57.5
Cr2MnSi,heusler,6,passed,,61,-2163.6119,-35.469048,473.2
Cr2MnAl,heusler,6,failed,timeout,85,,,900.0
Cr2MoBi,heusler,6,passed,,58,-2083.6191,-35.924467,291.0
Cr2MoIn,heusler,5,passed,,33,-921.2243,-27.915888,57.3
Cr2MoGe,heusler,5,passed,,32,-1047.5374,-32.735544,160.5
Cr2HfSi,heusler,6,passed,,59,-1577.8556,-26.743315,1030.1
Cr2MoSb,heusler,5,passed,,27,-998.3272,-36.975081,36.0
Cr2MoSi,heusler,5,passed,,30,-974.4501,-32.48167,53.4
Cr2MnIn,heusler,6,passed,,59,-1906.1241,-32.307188,772.4
Cr2MoSn,heusler,5,passed,,30,-959.1475,-31.971583,59.2
Cr2MoIn,heusler,6,passed,,45,-1356.4524,-30.143387,217.0
Cr2MoSb,heusler,6,passed,,52,-1842.7089,-35.43671,164.0
Cr2HfSn,heusler,6,failed,timeout,59,,,1200.0
Cr2MoSi,heusler,6,passed,,59,-1934.9382,-32.795563,208.5
Cr2MoGa,heusler,6,passed,,58,-1740.7411,-30.012778,444.3
Cr2NbBi,heusler,5,passed,,36,-1172.5705,-32.571403,100.7
Cr2NbGa,heusler,5,passed,,24,-655.8573,-27.327388,33.4
Cr2NbAl,heusler,5,passed,,36,-920.7642,-25.576783,147.8
Cr2MnBi,heusler,6,failed,timeout,73,,,1200.0
Cr2NbIn,heusler,5,passed,,30,-763.925,-25.464167,46.2
Cr2NbAl,heusler,6,passed,,59,-1564.7056,-26.520434,188.8
Cr2NbGe,heusler,5,passed,,39,-1179.5303,-30.244367,94.9
Cr2NbSb,heusler,5,passed,,30,-996.5319,-33.21773,66.6
Cr2MoBi,heusler,5,passed,,45,-1552.6777,-34.503949,815.6
Cr2NbGe,heusler,6,passed,,58,-1715.5597,-29.578616,189.5
Cr2NbBi,heusler,6,passed,,57,-1814.6326,-31.83566,339.9
Cr2NbSb,heusler,6,passed,,49,-1573.2142,-32.106412,193.1
Cr2NbGa,heusler,6,passed,,58,-1556.4629,-26.835567,272.4
Cr2NbSn,heusler,5,passed,,30,-876.3072,-29.21024,146.6
Cr2MoGe,heusler,6,passed,,58,-1953.4109,-33.679498,702.2
Cr2NbSi,heusler,5,passed,,37,-1099.0927,-29.705208,213.4
Cr2NbSn,heusler,6,passed,,46,-1316.477,-28.619065,119.9
Cr2NbIn,heusler,6,passed,,48,-1252.7231,-26.098398,401.0
Cr2NiGa,heusler,5,passed,,30,-1156.5123,-38.55041,142.9
Cr2NiGe,heusler,5,passed,,35,-1527.381,-43.639457,150.9
Cr2NiIn,heusler,5,passed,,27,-1037.9195,-38.441463,28.1
Cr2NiSb,heusler,5,passed,,27,-1349.182,-49.969704,9.1
Cr2NiBi,heusler,6,passed,,58,-2840.1176,-48.967545,272.4
Cr2NiAl,heusler,5,passed,,42,-1654.2818,-39.387662,293.8
Cr2MoSn,heusler,6,passed,,54,-1731.1973,-32.059209,731.7
Cr2NiSn,heusler,5,passed,,27,-1606.8132,-59.5116,60.8
Cr2NiBi,heusler,5,passed,,36,-1788.4482,-49.679117,378.8
Cr2NiSi,heusler,5,passed,,52,-2265.0958,-43.559535,121.7
