formula,class,sg,a,n_atoms_cell,t_factor,mu_factor,vec,delta_percent,predicted_phase,confidence,elements,ang_mom
CrFeMnTaW,hea,BCC_SQS,3.016,16,,,6.4,5.96,bcc,low,Cr;Fe;Mn;Ta;W,"{""Cr"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Ta"": ""d"", ""W"": ""d""}"
AlCrFeMnTa,hea,BCC_SQS,3.046,16,,,5.8,6.45,bcc,low,Al;Cr;Fe;Mn;Ta,"{""Al"": ""p"", ""Cr"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""Ta"": ""d""}"
AlCrFeMnW,hea,BCC_SQS,3.018,16,,,6.0,5.28,bcc,medium,Al;Cr;Fe;Mn;W,"{""Al"": ""p"", ""Cr"": ""d"", ""Fe"": ""d"", ""Mn"": ""d"", ""W"": ""d""}"
CoCrCuMnNi,hea,FCC_SQS,3.596,32,,,8.6,1.29,fcc,high,Co;Cr;Cu;Mn;Ni,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Ni"": ""d""}"
CoCrMnNbNi,hea,BCC_SQS,2.936,16,,,7.4,6.25,mixed,low,Co;Cr;Mn;Nb;Ni,"{""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""Ni"": ""d""}"
CoCrMnMoNi,hea,BCC_SQS,2.906,16,,,7.6,4.19,mixed,low,Co;Cr;Mn;Mo;Ni,"{""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ni"": ""d""}"
CoCrMnNiTa,hea,BCC_SQS,2.936,16,,,7.4,6.25,mixed,low,Co;Cr;Mn;Ni;Ta,"{""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Ni"": ""d"", ""Ta"": ""d""}"
CoCrMnNiW,hea,BCC_SQS,2.908,16,,,7.6,4.19,mixed,low,Co;Cr;Mn;Ni;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Ni"": ""d"", ""W"": ""d""}"
AlCoCrMnNi,hea,BCC_SQS,2.938,16,,,7.0,5.37,mixed,low,Al;Co;Cr;Mn;Ni,"{""Al"": ""p"", ""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Ni"": ""d""}"
CoCrCuMnNb,hea,BCC_SQS,2.964,16,,,7.6,5.87,mixed,low,Co;Cr;Cu;Mn;Nb,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Nb"": ""d""}"
