formula,class,source,status,reason,energy_eV,energy_per_atom_eV,a_initial,a_relaxed,n_atoms,volume_change_pct,confidence_update,elapsed_sec
CuMnMoVW,hea,prototype,suspect,vol_30pct,-805.7125,-50.357031,6.064,5.4815,16,30.31,low,194.4
MnMoNbTaV,hea,prototype,passed,,-621.5956,-38.849725,6.26,6.2705,16,0.4,high,77.2
CuMnMoTaV,hea,prototype,suspect,vol_33pct,-777.2866,-48.580413,6.12,5.4012,16,33.02,low,211.5
MnMoNbVW,hea,prototype,passed,,-650.3426,-40.646412,6.204,6.2251,16,0.44,high,108.7
AlCuMnNbV,hea,prototype,suspect,vol_38pct,-665.034,-41.564625,6.184,5.6093,16,37.58,low,252.4
AlCuMnMoV,hea,prototype,suspect,vol_34pct,-703.2282,-43.951763,6.124,5.4565,16,34.5,low,195.8
AlCuMnTaV,hea,prototype,passed,,-655.4393,-40.964956,6.184,5.611,16,27.5,low,177.4
CuMnTaVW,hea,prototype,passed,,-750.856,-46.9285,6.124,5.5463,16,28.87,low,190.7
MnMoTaVW,hea,prototype,passed,,-645.7882,-40.361762,6.204,6.2264,16,1.08,high,41.2
AlMnNiTaV,hea,prototype,passed,,-718.4492,-44.903075,6.128,6.118,16,10.84,medium,310.1
AlMnMoNbV,hea,prototype,passed,,-577.2275,-36.076719,6.264,6.0395,16,12.48,medium,86.3
MnNbTaVW,hea,prototype,passed,,-608.94,-38.05875,6.264,6.602,16,1.26,high,102.7
AlMnNbVW,hea,prototype,passed,,-563.6535,-35.228344,6.268,5.9328,16,15.68,medium,79.1
AlCuMnVW,hea,prototype,suspect,vol_34pct,-687.1179,-42.944869,6.128,5.4917,16,33.85,low,228.7
AlMnNbTaV,hea,prototype,passed,,-531.779,-33.236187,6.324,6.053,16,13.4,medium,141.9
AlMnTaVW,hea,prototype,passed,,-557.5532,-34.847075,6.268,6.1269,16,11.16,medium,91.0
CoFeMoNiV,hea,prototype,passed,,-1013.1392,-63.3212,5.872,5.8577,16,2.45,high,92.5
AlMnMoVW,hea,prototype,passed,,-602.5401,-37.658756,6.208,5.9051,16,15.45,medium,125.1
CoFeNbNiV,hea,prototype,passed,,-981.1422,-61.321388,5.932,6.0936,16,0.74,high,122.5
AlMnMoTaV,hea,prototype,passed,,-572.7608,-35.79755,6.264,6.0286,16,11.22,medium,160.0
CoFeNiTaV,hea,prototype,passed,,-980.0393,-61.252456,5.932,6.1717,16,0.86,high,160.9
CoFeNiVW,hea,prototype,passed,,-1005.9271,-62.870444,5.876,6.2167,16,1.56,high,154.6
CoCuFeMoV,hea,prototype,passed,,-987.0608,-61.6913,5.928,5.3572,16,27.28,low,123.9
CoCuFeNbV,hea,prototype,passed,,-946.3725,-59.148281,5.988,5.4392,16,28.14,low,155.2
CoFeMoNbV,hea,prototype,passed,,-834.7779,-52.173619,6.068,6.0791,16,1.2,high,109.5
AlCoCuFeV,hea,prototype,suspect,vol_37pct,-893.8619,-55.866369,5.992,5.229,16,37.49,low,180.1
CoFeMoVW,hea,prototype,passed,,-860.3556,-53.772225,6.012,6.0533,16,2.01,high,84.9
CoFeMoTaV,hea,prototype,passed,,-832.4796,-52.029975,6.068,6.2143,16,2.26,high,97.7
AlCoFeMoV,hea,prototype,passed,,-760.5039,-47.531494,6.072,5.8155,16,12.95,medium,78.6
AlCoFeNiV,hea,prototype,passed,,-907.0227,-56.688919,5.936,6.292,16,13.33,medium,296.3
AlCoFeNbV,hea,prototype,passed,,-723.0486,-45.190537,6.132,5.8994,16,14.38,medium,187.9
CoCuFeVW,hea,prototype,suspect,vol_31pct,-979.0482,-61.190512,5.932,5.3419,16,30.84,low,284.4
AlCoFeTaV,hea,prototype,passed,,-719.9273,-44.995456,6.132,5.9457,16,12.61,medium,88.1
AlCoFeVW,hea,prototype,passed,,-747.3352,-46.70845,6.076,5.7824,16,14.9,medium,90.2
CoFeNbVW,hea,prototype,passed,,-821.9742,-51.373387,6.072,6.2781,16,1.34,high,232.6
CoFeTaVW,hea,prototype,passed,,-819.1309,-51.195681,6.072,6.3556,16,2.28,high,150.7
CuFeNbNiV,hea,prototype,passed,,-979.6042,-61.225262,5.984,5.3862,16,29.99,low,134.0
CoCuFeTaV,hea,prototype,passed,,-972.8998,-60.806238,5.988,5.9586,16,19.2,medium,368.4
FeMoNbNiV,hea,prototype,passed,,-861.5895,-53.849344,6.064,6.0754,16,0.94,high,79.5
CoCuFeNiV,hea,prototype,passed,,-2301.499,-71.921844,7.256,6.6219,32,28.52,low,509.3
FeNbNiVW,hea,prototype,passed,,-850.3733,-53.148331,6.068,6.0978,16,0.85,high,96.8
FeMoNiTaV,hea,prototype,passed,,-859.6931,-53.730819,6.064,6.1078,16,0.17,high,105.2
FeMoNiVW,hea,prototype,passed,,-888.1509,-55.509431,6.008,6.0104,16,2.04,high,105.9
AlFeNbNiV,hea,prototype,passed,,-763.0357,-47.689731,6.128,6.003,16,13.67,medium,119.8
CuFeNiTaV,hea,prototype,suspect,vol_30pct,-974.5907,-60.911919,5.984,5.5832,16,30.2,low,206.7
FeNiTaVW,hea,prototype,passed,,-844.0647,-52.754044,6.068,6.1003,16,0.25,high,94.9
AlFeNiTaV,hea,prototype,passed,,-760.547,-47.534188,6.128,6.2092,16,6.95,high,117.8
AlCuFeNiV,hea,prototype,suspect,vol_33pct,-956.1763,-59.761019,5.988,5.4261,16,33.23,low,238.7
