formula,class,source,status,reason,energy_eV,energy_per_atom_eV,a_initial,a_relaxed,n_atoms,volume_change_pct,confidence_update,elapsed_sec
CaReO3,perovskite,prototype,passed,,-328.2882,-65.65764,4.06,3.9563,5,7.47,high,6.8
CaYN3,perovskite,prototype,passed,,-217.11,-43.422,4.72,4.3797,5,22.73,low,36.8
CaWF3,perovskite,prototype,passed,,-405.1164,-81.02328,3.9,4.2147,5,23.47,low,11.6
CaReF3,perovskite,prototype,passed,,-413.5157,-82.70314,3.92,4.2533,5,24.52,low,10.6
CaIrN3,perovskite,prototype,passed,,-270.8305,-54.1661,4.17,3.8724,5,19.92,medium,7.7
CaOsN3,perovskite,prototype,passed,,-259.0748,-51.81496,4.18,3.8612,5,21.18,low,9.1
CaOsF3,perovskite,prototype,suspect,vol_39pct,-423.207,-84.6414,3.92,4.3738,5,38.79,low,10.1
CaPtN3,perovskite,prototype,passed,,-268.2998,-53.65996,4.17,3.9019,5,18.07,medium,8.7
SrScN3,perovskite,prototype,passed,,-214.8983,-42.97966,4.41,4.2909,5,7.89,high,5.3
SrScF3,perovskite,prototype,passed,,-385.4876,-77.09752,4.15,4.3762,5,17.26,medium,6.6
SrScCl3,perovskite,prototype,passed,,-286.6558,-57.33116,5.11,5.2215,5,6.69,high,6.8
SrTiN3,perovskite,prototype,passed,,-224.6141,-44.92282,4.13,4.0795,5,3.62,high,5.2
CaIrF3,perovskite,prototype,suspect,vol_37pct,-437.2364,-87.44728,3.91,4.5043,5,36.88,low,14.3
CaPtF3,perovskite,prototype,suspect,vol_42pct,-433.5782,-86.71564,3.91,4.5772,5,41.54,low,13.1
SrTiF3,perovskite,prototype,passed,,-393.6837,-78.73674,3.87,4.183,5,26.28,low,6.5
SrVF3,perovskite,prototype,passed,,-402.5046,-80.50092,3.94,4.0951,5,12.28,medium,5.9
SrCrF3,perovskite,prototype,passed,,-393.5578,-78.71156,3.89,4.1062,5,17.62,medium,6.7
SrNiF3,perovskite,prototype,passed,,-460.2698,-92.05396,4.04,4.1484,5,8.26,high,3.7
SrMnF3,perovskite,prototype,passed,,-422.4461,-84.48922,3.95,4.0368,5,6.73,high,5.4
SrFeF3,perovskite,prototype,passed,,-434.443,-86.8886,3.95,4.0316,5,6.33,high,4.6
SrVN3,perovskite,prototype,passed,,-234.2195,-46.8439,4.2,4.1,5,7.01,high,10.2
SrCrN3,perovskite,prototype,passed,,-232.28,-46.456,4.15,4.0423,5,7.65,high,8.5
SrMnN3,perovskite,prototype,passed,,-253.4117,-50.68234,4.21,4.1322,5,5.64,high,10.1
SrYO3,perovskite,prototype,passed,,-296.9635,-59.3927,4.6,4.4866,5,7.21,high,3.3
SrZnF3,perovskite,prototype,passed,,-482.9776,-96.59552,4.14,4.4656,5,25.49,low,5.4
SrFeN3,perovskite,prototype,passed,,-264.5732,-52.91464,4.21,4.0787,5,9.19,high,10.2
SrNiN3,perovskite,prototype,passed,,-287.595,-57.519,4.3,4.1289,5,11.67,medium,11.3
SrYCl3,perovskite,prototype,passed,,-286.6598,-57.33196,5.42,5.6544,5,13.54,medium,4.4
SrCuF3,perovskite,prototype,passed,,-428.1014,-85.62028,4.12,4.1767,5,4.18,high,11.9
CsZnN3,perovskite,prototype,suspect,vol_82pct,-308.7211,-61.74422,4.4,5.7833,5,81.56,low,89.5
SrCuN3,perovskite,prototype,suspect,vol_121pct,-272.7058,-54.54116,4.38,5.715,5,121.08,low,12.1
SrYN3,perovskite,prototype,passed,,-214.2599,-42.85198,4.72,4.549,5,10.48,medium,7.3
SrZnN3,perovskite,prototype,passed,,-312.6466,-62.52932,4.4,4.2363,5,13.03,medium,14.3
SrYF3,perovskite,prototype,passed,,-385.1087,-77.02174,4.46,4.8079,5,25.13,low,12.4
SrZrF3,perovskite,prototype,passed,,-391.6323,-78.32646,4.1,4.4556,5,27.58,low,9.2
SrZrN3,perovskite,prototype,passed,,-224.4333,-44.88666,4.36,4.2751,5,5.73,high,7.6
SrNbN3,perovskite,prototype,passed,,-233.0364,-46.60728,4.2,4.1325,5,4.74,high,5.4
SrYS3,perovskite,prototype,passed,,-226.7914,-45.35828,5.48,5.2397,5,13.15,medium,11.5
SrNbF3,perovskite,prototype,suspect,vol_34pct,-399.5994,-79.91988,3.94,4.3443,5,34.05,low,7.4
SrMoF3,perovskite,prototype,passed,,-411.1835,-82.2367,3.96,4.2053,5,19.76,medium,7.1
SrPdCl3,perovskite,prototype,passed,,-315.33,-63.066,5.34,5.2022,5,7.54,high,2.9
SrRhF3,perovskite,prototype,suspect,vol_35pct,-426.042,-85.2084,3.99,4.4136,5,35.35,low,5.6
SrPdF3,perovskite,prototype,passed,,-412.864,-82.5728,4.38,4.4979,5,8.3,high,5.0
SrMoN3,perovskite,prototype,passed,,-245.1069,-49.02138,4.22,4.1744,5,3.28,high,9.8
SrRuF3,perovskite,prototype,suspect,vol_48pct,-414.2766,-82.85532,3.9,4.4457,5,48.13,low,9.7
SrPdS3,perovskite,prototype,passed,,-256.8085,-51.3617,5.4,4.8307,5,28.42,low,6.1
SrHfN3,perovskite,prototype,passed,,-224.1482,-44.82964,4.34,4.241,5,6.69,high,4.2
SrTaN3,perovskite,prototype,passed,,-232.0881,-46.41762,4.2,4.1137,5,6.04,high,4.5
SrPdN3,perovskite,prototype,passed,,-251.4114,-50.28228,4.64,4.2066,5,25.58,low,8.7
SrRuN3,perovskite,prototype,passed,,-249.8055,-49.9611,4.16,3.9925,5,11.6,medium,11.2
SrRhN3,perovskite,prototype,passed,,-260.824,-52.1648,4.25,4.3418,5,6.3,high,11.2
SrReF3,perovskite,prototype,suspect,vol_33pct,-413.2268,-82.64536,3.92,4.3059,5,32.5,low,4.6
SrWF3,perovskite,prototype,suspect,vol_31pct,-404.5782,-80.91564,3.9,4.2643,5,30.71,low,6.5
SrOsF3,perovskite,prototype,suspect,vol_46pct,-423.1401,-84.62802,3.92,4.4518,5,46.46,low,5.6
SrHfF3,perovskite,prototype,suspect,vol_30pct,-389.7847,-77.95694,4.08,4.461,5,30.09,low,9.9
BaScN3,perovskite,prototype,passed,,-214.4886,-42.89772,4.41,4.3905,5,1.32,high,1.8
SrTaF3,perovskite,prototype,suspect,vol_36pct,-395.6277,-79.12554,3.94,4.3737,5,35.91,low,10.0
SrIrF3,perovskite,prototype,suspect,vol_50pct,-436.9225,-87.3845,3.91,4.4712,5,49.53,low,5.7
SrPtF3,perovskite,prototype,suspect,vol_58pct,-433.2724,-86.65448,3.91,4.5504,5,57.62,low,5.7
BaScCl3,perovskite,prototype,passed,,-286.695,-57.339,5.11,5.1931,5,4.96,high,3.3
SrOsN3,perovskite,prototype,passed,,-257.7948,-51.55896,4.18,3.9876,5,13.18,medium,7.7
BaScF3,perovskite,prototype,passed,,-385.4162,-77.08324,4.15,4.4427,5,22.69,low,5.5
BaTiF3,perovskite,prototype,suspect,vol_35pct,-393.3138,-78.66276,3.87,4.2807,5,35.33,low,5.5
SrIrN3,perovskite,prototype,passed,,-271.731,-54.3462,4.17,4.4344,5,19.64,medium,10.1
BaVF3,perovskite,prototype,passed,,-401.9348,-80.38696,3.94,4.2152,5,22.45,low,5.5
SrPtN3,perovskite,prototype,passed,,-268.6772,-53.73544,4.17,4.3404,5,12.62,medium,10.2
BaCrF3,perovskite,prototype,passed,,-393.0666,-78.61332,3.89,4.2308,5,28.65,low,6.0
BaMnF3,perovskite,prototype,passed,,-421.7808,-84.35616,3.95,4.1781,5,18.35,medium,5.2
BaTiN3,perovskite,prototype,passed,,-223.8718,-44.77436,4.13,4.2692,5,10.45,medium,8.0
BaFeF3,perovskite,prototype,passed,,-433.764,-86.7528,3.95,4.1687,5,17.55,medium,5.1
BaNiF3,perovskite,prototype,passed,,-459.9463,-91.98926,4.04,4.2547,5,16.81,medium,4.6
BaCrN3,perovskite,prototype,passed,,-231.4066,-46.28132,4.15,4.2195,5,5.01,high,8.7
BaMnN3,perovskite,prototype,passed,,-252.8444,-50.56888,4.21,4.2929,5,5.85,high,8.7
BaVN3,perovskite,prototype,passed,,-233.5587,-46.71174,4.2,4.2875,5,6.31,high,10.8
BaZnN3,perovskite,prototype,passed,,-310.971,-62.1942,4.4,4.2642,5,8.98,high,4.2
BaYO3,perovskite,prototype,passed,,-296.8664,-59.37328,4.6,4.5372,5,4.04,high,3.9
BaFeN3,perovskite,prototype,passed,,-263.8417,-52.76834,4.21,4.2507,5,2.84,high,9.3
BaZnF3,perovskite,prototype,passed,,-482.9774,-96.59548,4.14,4.5138,5,29.6,low,6.9
BaYS3,perovskite,prototype,passed,,-226.8439,-45.36878,5.48,5.2316,5,12.99,medium,4.6
BaNiN3,perovskite,prototype,passed,,-287.0681,-57.41362,4.3,4.3731,5,4.97,high,11.3
BaYN3,perovskite,prototype,passed,,-214.1027,-42.82054,4.72,4.5954,5,7.71,high,7.2
BaZrN3,perovskite,prototype,passed,,-223.9096,-44.78192,4.36,4.35,5,0.68,high,3.8
BaYF3,perovskite,prototype,passed,,-384.3526,-76.87052,4.46,4.825,5,26.62,low,7.8
BaCuF3,perovskite,prototype,passed,,-427.8173,-85.56346,4.12,4.2949,5,13.29,medium,12.5
BaYCl3,perovskite,prototype,passed,,-285.9741,-57.19482,5.42,5.6518,5,13.38,medium,6.4
BaNbN3,perovskite,prototype,passed,,-232.1808,-46.43616,4.2,4.2257,5,1.85,high,4.2
BaZrF3,perovskite,prototype,suspect,vol_31pct,-391.5005,-78.3001,4.1,4.484,5,30.81,low,6.7
BaNbF3,perovskite,prototype,suspect,vol_40pct,-399.4823,-79.89646,3.94,4.4079,5,40.02,low,7.1
BaCuN3,perovskite,prototype,suspect,vol_130pct,-272.0887,-54.41774,4.38,5.7806,5,129.86,low,15.2
BaMoF3,perovskite,prototype,passed,,-410.8402,-82.16804,3.96,4.2935,5,27.45,low,5.8
BaRuF3,perovskite,prototype,suspect,vol_54pct,-414.3593,-82.87186,3.9,4.5008,5,53.7,low,6.0
BaPdF3,perovskite,prototype,passed,,-412.7789,-82.55578,4.38,4.5165,5,9.64,high,4.9
BaRhF3,perovskite,prototype,suspect,vol_41pct,-426.0997,-85.21994,3.99,4.4752,5,41.1,low,5.8
BaMoN3,perovskite,prototype,passed,,-244.5121,-48.90242,4.22,4.326,5,7.64,high,8.1
BaPdCl3,perovskite,prototype,passed,,-315.3832,-63.07664,5.34,5.2355,5,5.76,high,4.0
BaHfN3,perovskite,prototype,passed,,-223.531,-44.7062,4.34,4.3252,5,1.02,high,2.5
BaPdS3,perovskite,prototype,passed,,-256.6258,-51.32516,5.4,4.8694,5,26.68,low,4.9
BaRuN3,perovskite,prototype,passed,,-249.7816,-49.95632,4.16,4.4277,5,20.34,low,8.7
BaPdN3,perovskite,prototype,passed,,-250.7425,-50.1485,4.64,4.3869,5,15.55,medium,7.3
BaTaN3,perovskite,prototype,passed,,-231.1013,-46.22026,4.2,4.2113,5,0.81,high,3.6
BaRhN3,perovskite,prototype,passed,,-260.4396,-52.08792,4.25,4.4881,5,17.44,medium,9.7
BaHfF3,perovskite,prototype,suspect,vol_30pct,-389.1886,-77.83772,4.08,4.4571,5,30.36,low,6.0
BaTaF3,perovskite,prototype,suspect,vol_40pct,-395.3949,-79.07898,3.94,4.4029,5,39.55,low,6.0
BaReF3,perovskite,prototype,suspect,vol_40pct,-413.1006,-82.62012,3.92,4.3843,5,39.91,low,5.6
BaWF3,perovskite,prototype,suspect,vol_38pct,-404.3341,-80.86682,3.9,4.342,5,38.0,low,5.8
BaIrF3,perovskite,prototype,suspect,vol_54pct,-437.0404,-87.40808,3.91,4.5162,5,54.1,low,6.3
BaOsF3,perovskite,prototype,suspect,vol_52pct,-423.2282,-84.64564,3.92,4.5032,5,51.6,low,6.5
BaPtF3,perovskite,prototype,suspect,vol_62pct,-433.319,-86.6638,3.91,4.5881,5,61.57,low,6.9
BaOsN3,perovskite,prototype,passed,,-258.0727,-51.61454,4.18,4.4932,5,23.86,low,9.3
Fe2VGe,heusler,prototype,passed,,-202.9166,-50.72915,4.1478,4.0859,4,5.0,high,6.5
BaIrN3,perovskite,prototype,suspect,vol_32pct,-271.4235,-54.2847,4.17,4.5888,5,32.48,low,10.2
Fe2VBi,heusler,prototype,passed,,-212.1843,-53.046075,4.4254,4.1828,4,23.73,low,5.5
Fe2CrIn,heusler,prototype,passed,,-189.4992,-47.3748,4.4662,4.4837,4,1.58,high,2.9
Fe2CrGe,heusler,prototype,passed,,-204.5703,-51.142575,4.0988,4.1403,4,1.12,high,6.4
Fe2TiBi,heusler,prototype,passed,,-204.881,-51.22025,4.5316,4.4296,4,20.18,low,10.5
Fe2VSb,heusler,prototype,passed,,-210.9567,-52.739175,4.4662,4.1979,4,17.14,medium,9.2
BaPtN3,perovskite,prototype,passed,,-268.2001,-53.64002,4.17,4.5036,5,25.79,low,11.7
Fe2VIn,heusler,prototype,passed,,-187.8939,-46.973475,4.5152,5.0042,4,2.95,high,10.1
Fe2MnSb,heusler,prototype,passed,,-228.5433,-57.135825,4.4091,4.3028,4,15.57,medium,11.3
Fe2CoSb,heusler,prototype,passed,,-253.8946,-63.47365,4.3928,4.1014,4,17.76,medium,11.0
Fe2MnBi,heusler,prototype,passed,,-230.6174,-57.65435,4.3683,4.1311,4,27.9,low,13.6
Fe2MnSn,heusler,prototype,passed,,-216.5935,-54.148375,4.3846,4.5729,4,9.67,high,14.9
Fe2MnIn,heusler,prototype,passed,,-205.6834,-51.42085,4.4581,5.1862,4,3.92,high,14.3
Fe2NiIn,heusler,prototype,passed,,-243.3179,-60.829475,4.4336,4.4336,4,0.0,high,1.0
Fe2CoSn,heusler,prototype,passed,,-241.6941,-60.423525,4.3683,4.5119,4,8.9,high,14.9
Fe2ZrSi,heusler,prototype,passed,,-192.9438,-48.23595,4.3274,4.3152,4,1.32,high,2.5
Fe2CoIn,heusler,prototype,passed,,-230.4383,-57.609575,4.4417,5.0591,4,2.49,high,14.9
Fe2NiGe,heusler,prototype,passed,,-259.4837,-64.870925,4.0662,3.9995,4,4.36,high,8.4
Fe2CoBi,heusler,prototype,passed,,-256.282,-64.0705,4.3519,4.1779,4,25.86,low,16.3
Fe2NiSn,heusler,prototype,passed,,-255.6671,-63.916775,4.3601,4.2634,4,9.36,high,6.7
Fe2ZrGe,heusler,prototype,passed,,-194.7791,-48.694775,4.3601,4.3415,4,1.94,high,2.9
Fe2CoAl,heusler,prototype,passed,,-233.2308,-58.3077,4.2458,4.0383,4,23.69,low,20.0
Fe2ZrGa,heusler,prototype,passed,,-183.5889,-45.897225,4.4662,4.384,4,5.03,high,6.0
Fe2NiSb,heusler,prototype,passed,,-267.9441,-66.986025,4.3846,4.1171,4,16.53,medium,8.7
Fe2CrBi,heusler,prototype,suspect,vol_43pct,-219.526,-54.8815,4.3764,5.1698,4,42.61,low,25.8
Fe2ZrSn,heusler,prototype,passed,,-191.8043,-47.951075,4.654,4.442,4,13.04,medium,7.8
Fe2NiBi,heusler,prototype,passed,,-270.1987,-67.549675,4.3438,4.2354,4,24.1,low,11.7
Fe2ZrIn,heusler,prototype,passed,,-180.4966,-45.12415,4.7275,4.5804,4,8.51,high,7.2
Fe2NbIn,heusler,prototype,passed,,-187.2777,-46.819425,4.6132,4.5488,4,6.8,high,4.5
Fe2ZrSb,heusler,prototype,passed,,-203.436,-50.859,4.6785,4.4205,4,16.32,medium,9.6
Fe2MoSi,heusler,prototype,passed,,-211.52,-52.88,4.156,4.1377,4,2.0,high,2.8
Fe2NbSb,heusler,prototype,passed,,-210.8769,-52.719225,4.5642,4.2514,4,19.59,medium,7.5
Fe2NbSn,heusler,prototype,passed,,-198.955,-49.73875,4.5397,4.3204,4,14.3,medium,8.8
Fe2NbSi,heusler,prototype,passed,,-202.967,-50.74175,4.2131,3.7893,4,27.68,low,11.3
Fe2MoGe,heusler,prototype,passed,,-213.2307,-53.307675,4.1886,4.1591,4,3.06,high,3.7
Fe2ZrBi,heusler,prototype,passed,,-204.4526,-51.11315,4.6377,4.5041,4,16.8,medium,13.3
Fe2HfSi,heusler,prototype,passed,,-193.32,-48.33,4.3193,4.3065,4,1.36,high,2.6
Fe2MoGa,heusler,prototype,passed,,-201.996,-50.499,4.2948,4.2364,4,4.14,high,7.5
Fe2HfGe,heusler,prototype,passed,,-195.1543,-48.788575,4.3519,4.3244,4,2.84,high,3.3
Fe2MoSb,heusler,prototype,passed,,-221.4823,-55.370575,4.5071,4.2311,4,17.19,medium,8.4
Fe2HfGa,heusler,prototype,passed,,-184.0841,-46.021025,4.4581,4.3624,4,5.86,high,6.1
Fe2MoSn,heusler,prototype,passed,,-209.6812,-52.4203,4.4826,4.2813,4,12.93,medium,9.1
Fe2NbGe,heusler,prototype,passed,,-203.0555,-50.763875,4.2458,3.8366,4,26.2,low,18.7
Fe2MoIn,heusler,prototype,passed,,-198.0836,-49.5209,4.5561,4.8113,4,5.01,high,10.6
Fe2NbBi,heusler,prototype,suspect,vol_45pct,-216.2896,-54.0724,4.5234,3.6908,4,44.94,low,15.4
Fe2MoBi,heusler,prototype,passed,,-222.4678,-55.61695,4.4662,4.3489,4,20.96,low,9.9
Fe2HfIn,heusler,prototype,passed,,-180.8779,-45.219475,4.7194,4.5562,4,9.27,high,6.8
Fe2HfSb,heusler,prototype,passed,,-203.7146,-50.92865,4.6704,4.4039,4,16.94,medium,8.4
Fe2WSi,heusler,prototype,passed,,-208.6061,-52.151525,4.156,4.1442,4,1.47,high,2.9
Fe2WGe,heusler,prototype,passed,,-210.3228,-52.5807,4.1886,4.1699,4,2.15,high,2.9
Fe2TaSn,heusler,prototype,passed,,-198.3303,-49.582575,4.5397,4.3277,4,14.02,medium,9.4
Fe2TaSb,heusler,prototype,passed,,-210.1389,-52.534725,4.5642,4.2666,4,18.7,medium,9.5
Fe2WGa,heusler,prototype,passed,,-199.1596,-49.7899,4.2948,4.258,4,3.21,high,6.6
Fe2TaSi,heusler,prototype,passed,,-200.4939,-50.123475,4.2131,3.9493,4,17.93,medium,10.7
Fe2TaIn,heusler,prototype,passed,,-186.9545,-46.738625,4.6132,4.889,4,4.8,high,10.8
Fe2HfBi,heusler,prototype,passed,,-204.6359,-51.158975,4.6295,4.555,4,16.93,medium,14.2
Fe2WBi,heusler,prototype,passed,,-219.089,-54.77225,4.4662,4.2791,4,17.64,medium,5.1
Fe2WSn,heusler,prototype,passed,,-206.683,-51.67075,4.4826,4.3053,4,11.99,medium,10.1
Fe2WSb,heusler,prototype,passed,,-218.4549,-54.613725,4.5071,4.247,4,16.28,medium,9.1
Co2TiBi,heusler,prototype,passed,,-228.8625,-57.215625,4.5152,4.4528,4,6.44,high,5.6
Fe2WIn,heusler,prototype,passed,,-195.4702,-48.86755,4.5561,4.9313,4,3.03,high,11.0
Co2TiSb,heusler,prototype,passed,,-228.3395,-57.084875,4.5561,4.4036,4,9.95,high,8.6
Co2CrSn,heusler,prototype,passed,,-223.4802,-55.87005,4.3764,4.4186,4,4.64,high,4.0
Co2VSb,heusler,prototype,passed,,-235.371,-58.84275,4.4499,4.2748,4,11.19,medium,9.7
Co2FeSn,heusler,prototype,passed,,-254.5101,-63.627525,4.3601,4.2683,4,9.12,high,4.8
Fe2TaBi,heusler,prototype,suspect,vol_41pct,-212.4031,-53.100775,4.5234,3.8002,4,40.84,low,19.0
Co2VIn,heusler,prototype,passed,,-212.3248,-53.0812,4.4989,4.4521,4,2.49,high,10.7
Co2NiGe,heusler,prototype,passed,,-284.8411,-71.210275,4.0498,4.0156,4,2.38,high,4.8
Co2MnIn,heusler,prototype,passed,,-229.7944,-57.4486,4.4417,4.3543,4,4.25,high,10.2
Co2NiSi,heusler,prototype,passed,,-283.012,-70.753,4.0172,3.9478,4,4.75,high,7.2
Co2FeSb,heusler,prototype,passed,,-266.4827,-66.620675,4.3846,4.1293,4,16.29,medium,10.5
Co2MnBi,heusler,prototype,passed,,-255.56,-63.89,4.3519,4.4463,4,19.63,medium,13.4
Co2NiSb,heusler,prototype,passed,,-293.4864,-73.3716,4.3683,4.1476,4,14.4,medium,8.0
Co2NiSn,heusler,prototype,passed,,-281.573,-70.39325,4.3438,4.2248,4,7.43,high,9.8
Co2VBi,heusler,prototype,passed,,-236.198,-59.0495,4.4091,4.4296,4,14.88,medium,17.7
Co2FeBi,heusler,prototype,passed,,-268.5992,-67.1498,4.3438,4.2109,4,23.35,low,12.8
Co2ZrBi,heusler,prototype,passed,,-228.9136,-57.2284,4.6214,4.5806,4,4.26,high,2.8
Co2NbSi,heusler,prototype,passed,,-224.3987,-56.099675,4.1968,4.2483,4,5.43,high,3.6
Co2ZrSb,heusler,prototype,passed,,-228.388,-57.097,4.6622,4.5295,4,8.96,high,6.8
Co2MoAl,heusler,prototype,passed,,-224.693,-56.17325,4.3438,4.2134,4,12.74,medium,4.3
Co2MoGa,heusler,prototype,passed,,-226.0758,-56.51895,4.2784,4.2784,4,0.0,high,1.2
Co2NiBi,heusler,prototype,passed,,-295.5368,-73.8842,4.3274,4.3563,4,19.15,medium,12.1
Co2ZrSi,heusler,prototype,passed,,-217.4984,-54.3746,4.3111,4.541,4,8.72,high,11.8
Co2NiIn,heusler,prototype,passed,,-269.2263,-67.306575,4.4172,4.3591,4,3.26,high,13.8
Co2MoSi,heusler,prototype,passed,,-235.5025,-58.875625,4.1396,4.1636,4,2.56,high,3.8
Co2NbGe,heusler,prototype,passed,,-226.5272,-56.6318,4.2295,4.2877,4,4.14,high,8.0
Co2MoGe,heusler,prototype,passed,,-237.519,-59.37975,4.1723,4.1875,4,1.55,high,2.8
Co2NbSb,heusler,prototype,passed,,-235.129,-58.78225,4.5479,4.3678,4,11.15,medium,7.4
Co2ZrGe,heusler,prototype,passed,,-219.6244,-54.9061,4.3438,4.5647,4,6.63,high,12.9
Co2HfBi,heusler,prototype,passed,,-228.8913,-57.222825,4.6132,4.5891,4,2.82,high,2.1
Co2MoIn,heusler,prototype,passed,,-222.6523,-55.663075,4.5397,4.5152,4,2.77,high,4.0
Co2MoSn,heusler,prototype,passed,,-234.355,-58.58875,4.4662,4.3249,4,9.18,high,9.9
Co2TaSi,heusler,prototype,passed,,-223.5472,-55.8868,4.1968,4.2886,4,6.45,high,7.9
Co2TaGe,heusler,prototype,passed,,-225.6469,-56.411725,4.2295,4.3021,4,4.72,high,8.0
Co2MoSb,heusler,prototype,passed,,-245.786,-61.4465,4.4907,4.2843,4,13.24,medium,9.9
Co2TaSb,heusler,prototype,passed,,-234.0655,-58.516375,4.5479,4.3843,4,9.95,high,8.2
Co2NbBi,heusler,prototype,passed,,-235.7524,-58.9381,4.5071,4.5404,4,10.93,medium,18.2
Co2TaSn,heusler,prototype,passed,,-222.4007,-55.600175,4.5234,4.4268,4,6.8,high,9.3
Co2HfGe,heusler,prototype,passed,,-219.7893,-54.947325,4.3356,4.5251,4,5.79,high,11.7
Co2HfSi,heusler,prototype,passed,,-217.7071,-54.426775,4.3029,4.5013,4,7.67,high,12.6
Co2WSi,heusler,prototype,passed,,-232.1766,-58.04415,4.1396,4.1905,4,5.56,high,3.7
Co2WAl,heusler,prototype,passed,,-221.2851,-55.321275,4.3438,4.2443,4,9.8,high,4.7
Co2WIn,heusler,prototype,passed,,-219.5155,-54.878875,4.5397,4.5323,4,0.81,high,2.0
Co2TaBi,heusler,prototype,passed,,-234.3479,-58.586975,4.5071,4.3623,4,7.5,high,7.8
Co2WGa,heusler,prototype,passed,,-222.9749,-55.743725,4.2784,4.31,4,2.23,high,5.2
Co2TaIn,heusler,prototype,passed,,-211.6377,-52.909425,4.5969,4.9793,4,2.49,high,8.5
Co2WGe,heusler,prototype,passed,,-234.2012,-58.5503,4.1723,4.2135,4,3.95,high,5.2
Co2MoBi,heusler,prototype,passed,,-246.8496,-61.7124,4.4499,4.5519,4,14.89,medium,18.4
Co2WBi,heusler,prototype,passed,,-242.5465,-60.636625,4.4499,4.3628,4,8.33,high,5.3
Ni2VBi,heusler,prototype,passed,,-261.5792,-65.3948,4.3928,4.3928,4,0.0,high,1.0
Co2WSn,heusler,prototype,passed,,-230.8999,-57.724975,4.4662,4.3547,4,7.06,high,8.2
Ni2TiBi,heusler,prototype,passed,,-254.7737,-63.693425,4.4989,4.5498,4,5.87,high,4.3
Co2WSb,heusler,prototype,passed,,-242.1937,-60.548425,4.4907,4.3315,4,10.53,medium,8.9
Ni2VIn,heusler,prototype,passed,,-239.2008,-59.8002,4.4826,4.5225,4,4.1,high,3.1
Ni2TiSi,heusler,prototype,passed,,-244.1774,-61.04435,4.1886,4.3198,4,10.47,medium,8.1
Ni2VGe,heusler,prototype,passed,,-253.1598,-63.28995,4.1151,4.2105,4,7.04,high,5.2
Ni2TiGe,heusler,prototype,passed,,-246.0922,-61.52305,4.2213,4.3286,4,8.75,high,8.8
Ni2VSb,heusler,prototype,passed,,-261.1943,-65.298575,4.4336,4.3502,4,5.75,high,7.4
Ni2VSi,heusler,prototype,passed,,-251.1803,-62.795075,4.0825,4.1971,4,8.5,high,8.7
Ni2FeSi,heusler,prototype,passed,,-283.8959,-70.973975,4.0172,3.9984,4,1.97,high,2.6
Ni2CrSi,heusler,prototype,passed,,-248.6578,-62.16445,4.0335,4.3166,4,28.05,low,8.5
Ni2FeIn,heusler,prototype,passed,,-270.8637,-67.715925,4.4172,4.4306,4,1.52,high,3.1
Ni2CrGa,heusler,prototype,passed,,-240.8037,-60.200925,4.1723,4.3854,4,15.76,medium,11.7
Ni2CrBi,heusler,prototype,suspect,vol_35pct,-258.4727,-64.618175,4.3438,4.5899,4,35.19,low,11.0
Ni2CrGe,heusler,prototype,passed,,-250.5105,-62.627625,4.0662,4.314,4,26.11,low,12.2
Ni2CrSn,heusler,prototype,passed,,-247.0864,-61.7716,4.3601,4.4522,4,12.13,medium,12.0
Ni2CrSb,heusler,prototype,passed,,-257.7411,-64.435275,4.3846,4.4536,4,18.18,medium,12.2
Ni2CoGe,heusler,prototype,passed,,-298.4888,-74.6222,4.0417,4.0417,4,0.0,high,1.3
Ni2CoSi,heusler,prototype,passed,,-296.5649,-74.141225,4.009,3.9988,4,0.99,high,3.6
Ni2FeSn,heusler,prototype,passed,,-282.6086,-70.65215,4.3438,4.2205,4,7.54,high,11.3
Ni2FeSb,heusler,prototype,passed,,-294.1326,-73.53315,4.3683,4.162,4,13.24,medium,9.9
Ni2CoGa,heusler,prototype,passed,,-286.8111,-71.702775,4.1478,4.1685,4,2.11,high,4.0
Ni2CoIn,heusler,prototype,passed,,-283.7944,-70.9486,4.4091,4.4364,4,2.76,high,5.0
Ni2CoAl,heusler,prototype,passed,,-286.2465,-71.561625,4.2131,4.0285,4,18.48,medium,7.6
Ni2MnBi,heusler,prototype,passed,,-282.4861,-70.621525,4.3356,4.7446,4,10.96,medium,17.9
Ni2ZrBi,heusler,prototype,passed,,-254.7626,-63.69065,4.605,4.6503,4,4.91,high,4.2
Ni2NbBi,heusler,prototype,passed,,-260.7394,-65.18485,4.4907,4.5037,4,1.35,high,2.6
Ni2NbGe,heusler,prototype,passed,,-252.4205,-63.105125,4.2131,4.3294,4,8.14,high,6.5
Ni2CoSb,heusler,prototype,passed,,-306.8517,-76.712925,4.3601,4.1905,4,11.36,medium,12.6
Ni2ZrGe,heusler,prototype,passed,,-245.9664,-61.4916,4.3274,4.457,4,10.65,medium,9.4
Ni2ZrSi,heusler,prototype,passed,,-244.0008,-61.0002,4.2948,4.4451,4,11.82,medium,9.6
Ni2NbSb,heusler,prototype,passed,,-260.3682,-65.09205,4.5316,4.451,4,5.47,high,8.2
Ni2NbSi,heusler,prototype,passed,,-250.4179,-62.604475,4.1805,4.3194,4,9.98,high,9.0
Ni2FeAl,heusler,prototype,passed,,-273.9008,-68.4752,4.2213,4.2449,4,22.63,low,26.3
